"File","HasLink","Action"
"G:\Website\403-us-only.html","True","Has link"
"G:\Website\404.html","True","Has link"
"G:\Website\500.html","True","Has link"
"G:\Website\about-us\about.html","True","Has link"
"G:\Website\about-us\privacy.html","True","Has link"
"G:\Website\about-us\terms-conditions.html","True","Has link"
"G:\Website\admin\admin.old.html","True","Has link"
"G:\Website\admin\login.html","True","Has link"
"G:\Website\blog.html","True","Has link"
"G:\Website\blog-post.html","True","Has link"
"G:\Website\contact.html","True","Has link"
"G:\Website\gallery\gallery.html","True","Has link"
"G:\Website\index.html","True","Has link"
"G:\Website\portfolio.html","True","Has link"
"G:\Website\ranked-choice\create-ballot.html","True","Has link"
"G:\Website\ranked-choice\ranked-choice.html","True","Has link"
"G:\Website\ranked-choice\results.html","True","Has link"
"G:\Website\ranked-choice\vote.html","True","Has link"
"G:\Website\services.html","True","Has link"
"G:\Website\services\editing.html","True","Has link"
"G:\Website\services\other-services.html","True","Has link"
"G:\Website\services\photography.html","True","Has link"
"G:\Website\services\pricing.html","True","Has link"
"G:\Website\services\request-form.html","True","Has link"
"G:\Website\services\videography.html","True","Has link"
"G:\Website\testimonials.html","True","Has link"
"G:\Website\vendor\phpmailer\phpmailer\examples\contents.html","True","Has link"
"G:\Website\vendor\phpmailer\phpmailer\examples\contentsutf8.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeComparisonBlankLines.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeComparisonBlockLength.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeComparisonEncoding.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeComparisonLineLength.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeTitleLineWrapping.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputCodeTitleWhitespace.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputDocumentationTitleCase.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputDocumentationTitleLength.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputDocumentationTitlePCREFallback.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputDocumentationTitleToAnchorSlug.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonMismatchedCodeElms.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonMissingCodeElm.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonNoCode.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonNoContent.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonOneEmptyCodeElm.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeComparisonTwoEmptyCodeElms.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeTitleEmpty.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidCodeTitleMissing.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidDocumentationTitleEmpty.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidDocumentationTitleMissing.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputInvalidStandardNoContent.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputOneDoc.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputStandardBlankLines.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputStandardEncoding.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputStandardIndent.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputStandardLineWrapping.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputStructureDocs.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputUnsupportedOneElmAtWrongLevel.html","True","Has link"
"G:\Website\vendor\squizlabs\php_codesniffer\tests\Core\Generators\Expectations\ExpectedOutputUnsupportedSuperfluousCodeElement.html","True","Has link"
